exchange,symbol,timestamp,local_timestamp,is_snapshot
deribit,BTC-PERPETUAL,1585699200245000,1585699200355684,true
deribit,BTC-PERPETUAL,1585699200245000,1585699200355684,true
deribit,BTC-PERPETUAL,1585699200245000,1585699200355684,true
deribit,BTC-PERPETUAL,1585699200245000,1585699200355684,true
deribit,BTC-PERPETUAL,1585699200245000,1585699200355684,true
deribit,BTC-PERPETUAL,1585699200245000,1585699200355684,true
deribit,BTC-PERPETUAL,1585699200245000,1585699200355684,true
deribit,BTC-PERPETUAL,1585699200245000,1585699200355684,true
deribit,BTC-PERPETUAL,1585699200245000,1585699200355684,true
deribit,BTC-PERPETUAL,1585699200314000,1585699200358411,false
deribit,BTC-PERPETUAL,1585699200314000,1585699200358411,false
deribit,BTC-PERPETUAL,1585699200316000,1585699200358426,false
deribit,BTC-PERPETUAL,1585699200316000,1585699200358426,false
deribit,BTC-PERPETUAL,1585699200322000,1585699200358430,false
deribit,BTC-PERPETUAL,1585699200322000,1585699200358430,false
deribit,BTC-PERPETUAL,1585699200329000,1585699200363260,false
deribit,BTC-PERPETUAL,1585699200329000,1585699200363260,false
deribit,BTC-PERPETUAL,1585699200341000,1585699200363269,false
deribit,BTC-PERPETUAL,1585699200341000,1585699200363269,false
